变量名,huodongID,_beizhu,rank,award,desc,_desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
默认值,,,,{},无奖励吗,无奖励吗,无奖励吗,无奖励吗,Phần thưởng Boss Thế Giới,无奖励吗,Recompensas do Chefe Mundial,รางวัลบอสโลก
ID,活动版本号,备注,名次内,排行奖励,奖励描述,奖励描述,奖励描述,奖励描述,奖励描述,奖励描述_韩,奖励描述_韩,奖励描述_韩
1,1001,天赋点,1,{5000=80;521=8;500=5;rmb=1888;talent_point=8},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
2,1001,天赋点,2,{5000=65;521=7;500=5;rmb=1588;talent_point=7},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
3,1001,天赋点,3,{5000=60;521=6;500=4;rmb=1288;talent_point=6},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
4,1001,天赋点,6,{5000=55;521=5;500=3;rmb=888;talent_point=5},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
5,1001,天赋点,10,{5000=45;521=4;500=2;rmb=688;talent_point=4},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
6,1001,天赋点,30,{5000=30;talent_point=2;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
7,1001,天赋点,60,{5000=25;talent_point=2;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
8,1001,天赋点,100,{5000=20;talent_point=1;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
9,1001,天赋点,300,{5000=18;talent_point=1;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
10,1001,天赋点,600,{5000=16;talent_point=1;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
11,1001,天赋点,1000,{5000=14;talent_point=1;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
12,1001,天赋点,99999,{5000=12;talent_point=1;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,,
101,1002,携带,1,{930=80;521=8;500=5;rmb=1888;2103=20},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
102,1002,携带,2,{930=65;521=7;500=5;rmb=1588;2103=15},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
103,1002,携带,3,{930=60;521=6;500=4;rmb=1288;2103=10},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
104,1002,携带,6,{930=55;521=5;500=3;rmb=888;2103=8},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
105,1002,携带,10,{930=45;521=4;500=2;rmb=688;2103=7},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
106,1002,携带,30,{930=30;2103=5;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
107,1002,携带,60,{930=25;2103=4;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
108,1002,携带,100,{930=20;2103=3;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
109,1002,携带,300,{930=18;2103=2;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
110,1002,携带,600,{930=16;2103=2;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
111,1002,携带,1000,{930=14;2103=1;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
112,1002,携带,99999,{930=12;2103=1;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,,
201,1003,潜能,1,{5000=80;521=8;500=5;rmb=1888;805=400},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
202,1003,潜能,2,{5000=65;521=7;500=5;rmb=1588;805=380},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
203,1003,潜能,3,{5000=60;521=6;500=4;rmb=1288;805=320},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
204,1003,潜能,6,{5000=55;521=5;500=3;rmb=888;805=300},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
205,1003,潜能,10,{5000=45;521=4;500=2;rmb=688;805=250},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
206,1003,潜能,30,{5000=30;805=200;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
207,1003,潜能,60,{5000=25;805=190;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
208,1003,潜能,100,{5000=20;805=180;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
209,1003,潜能,300,{5000=18;805=170;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
210,1003,潜能,600,{5000=16;805=160;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
211,1003,潜能,1000,{5000=14;805=150;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
212,1003,潜能,99999,{5000=12;805=100;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,,
301,1004,努力,1,{930=80;521=8;500=5;rmb=1888;452=120},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
302,1004,努力,2,{930=65;521=7;500=5;rmb=1588;452=95},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
303,1004,努力,3,{930=60;521=6;500=4;rmb=1288;452=85},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
304,1004,努力,6,{930=55;521=5;500=3;rmb=888;452=70},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
305,1004,努力,10,{930=45;521=4;500=2;rmb=688;452=65},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
306,1004,努力,30,{930=30;452=50;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
307,1004,努力,60,{930=25;452=50;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
308,1004,努力,100,{930=20;452=45;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
309,1004,努力,300,{930=18;452=40;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
310,1004,努力,600,{930=16;452=35;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
311,1004,努力,1000,{930=14;452=30;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
312,1004,努力,99999,{930=12;452=20;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,,
401,1005,天赋点,1,{5000=80;521=8;500=5;rmb=1888;talent_point=8},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
402,1005,,2,{5000=65;521=7;500=5;rmb=1588;talent_point=7},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
403,1005,,3,{5000=60;521=6;500=4;rmb=1288;talent_point=6},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
404,1005,,6,{5000=55;521=5;500=3;rmb=888;talent_point=5},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
405,1005,,10,{5000=45;521=4;500=2;rmb=688;talent_point=4},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
406,1005,,30,{5000=30;talent_point=2;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
407,1005,,60,{5000=25;talent_point=2;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
408,1005,,100,{5000=20;talent_point=1;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
409,1005,,300,{5000=18;talent_point=1;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
410,1005,,600,{5000=16;talent_point=1;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
411,1005,,1000,{5000=14;talent_point=1;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
412,1005,,99999,{5000=12;talent_point=1;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,,
501,1006,携带,1,{930=80;521=8;500=5;rmb=1888;2103=20},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
502,1006,,2,{930=65;521=7;500=5;rmb=1588;2103=15},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
503,1006,,3,{930=60;521=6;500=4;rmb=1288;2103=10},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
504,1006,,6,{930=55;521=5;500=3;rmb=888;2103=8},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
505,1006,,10,{930=45;521=4;500=2;rmb=688;2103=7},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
506,1006,,30,{930=30;2103=5;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
507,1006,,60,{930=25;2103=4;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
508,1006,,100,{930=20;2103=3;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
509,1006,,300,{930=18;2103=2;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
510,1006,,600,{930=16;2103=2;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
511,1006,,1000,{930=14;2103=1;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
512,1006,,99999,{930=12;2103=1;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,,
601,1007,潜能,1,{5000=80;521=8;500=5;rmb=1888;805=400},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
602,1007,,2,{5000=65;521=7;500=5;rmb=1588;805=380},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
603,1007,,3,{5000=60;521=6;500=4;rmb=1288;805=320},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
604,1007,,6,{5000=55;521=5;500=3;rmb=888;805=300},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
605,1007,,10,{5000=45;521=4;500=2;rmb=688;805=250},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
606,1007,,30,{5000=30;805=200;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
607,1007,,60,{5000=25;805=190;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
608,1007,,100,{5000=20;805=180;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
609,1007,,300,{5000=18;805=170;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
610,1007,,600,{5000=16;805=160;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
611,1007,,1000,{5000=14;805=150;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
612,1007,,99999,{5000=12;805=100;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,,
701,1008,努力,1,{930=80;521=8;500=5;rmb=1888;452=120},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
702,1008,,2,{930=65;521=7;500=5;rmb=1588;452=95},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
703,1008,,3,{930=60;521=6;500=4;rmb=1288;452=85},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
704,1008,,6,{930=55;521=5;500=3;rmb=888;452=70},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
705,1008,,10,{930=45;521=4;500=2;rmb=688;452=65},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
706,1008,,30,{930=30;452=50;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
707,1008,,60,{930=25;452=50;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
708,1008,,100,{930=20;452=45;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
709,1008,,300,{930=18;452=40;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
710,1008,,600,{930=16;452=35;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
711,1008,,1000,{930=14;452=30;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
712,1008,,99999,{930=12;452=20;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,,
801,1009,天赋点,1,{5000=80;521=8;500=5;rmb=1888;talent_point=8},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
802,1009,,2,{5000=65;521=7;500=5;rmb=1588;talent_point=7},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
803,1009,,3,{5000=60;521=6;500=4;rmb=1288;talent_point=6},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
804,1009,,6,{5000=55;521=5;500=3;rmb=888;talent_point=5},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
805,1009,,10,{5000=45;521=4;500=2;rmb=688;talent_point=4},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
806,1009,,30,{5000=30;talent_point=2;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
807,1009,,60,{5000=25;talent_point=2;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
808,1009,,100,{5000=20;talent_point=1;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
809,1009,,300,{5000=18;talent_point=1;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
810,1009,,600,{5000=16;talent_point=1;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
811,1009,,1000,{5000=14;talent_point=1;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
812,1009,,99999,{5000=12;talent_point=1;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,,
901,1010,携带,1,{930=80;521=8;500=5;rmb=1888;2103=20},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
902,1010,,2,{930=65;521=7;500=5;rmb=1588;2103=15},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
903,1010,,3,{930=60;521=6;500=4;rmb=1288;2103=10},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
904,1010,,6,{930=55;521=5;500=3;rmb=888;2103=8},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
905,1010,,10,{930=45;521=4;500=2;rmb=688;2103=7},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
906,1010,,30,{930=30;2103=5;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
907,1010,,60,{930=25;2103=4;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
908,1010,,100,{930=20;2103=3;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
909,1010,,300,{930=18;2103=2;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
910,1010,,600,{930=16;2103=2;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
911,1010,,1000,{930=14;2103=1;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
912,1010,,99999,{930=12;2103=1;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,,
1001,1011,潜能,1,{5000=80;521=8;500=5;rmb=1888;805=400},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1002,1011,,2,{5000=65;521=7;500=5;rmb=1588;805=380},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1003,1011,,3,{5000=60;521=6;500=4;rmb=1288;805=320},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1004,1011,,6,{5000=55;521=5;500=3;rmb=888;805=300},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1005,1011,,10,{5000=45;521=4;500=2;rmb=688;805=250},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1006,1011,,30,{5000=30;805=200;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1007,1011,,60,{5000=25;805=190;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1008,1011,,100,{5000=20;805=180;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1009,1011,,300,{5000=18;805=170;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1010,1011,,600,{5000=16;805=160;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1011,1011,,1000,{5000=14;805=150;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1012,1011,,99999,{5000=12;805=100;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
,,,,,,,,,,,,
1101,1012,努力,1,{930=80;521=8;500=5;rmb=1888;452=120},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1102,1012,,2,{930=65;521=7;500=5;rmb=1588;452=95},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1103,1012,,3,{930=60;521=6;500=4;rmb=1288;452=85},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1104,1012,,6,{930=55;521=5;500=3;rmb=888;452=70},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1105,1012,,10,{930=45;521=4;500=2;rmb=688;452=65},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1106,1012,,30,{930=30;452=50;gold=400000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1107,1012,,60,{930=25;452=50;gold=350000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1108,1012,,100,{930=20;452=45;gold=300000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1109,1012,,300,{930=18;452=40;gold=250000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1110,1012,,600,{930=16;452=35;gold=200000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1111,1012,,1000,{930=14;452=30;gold=180000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,
1112,1012,,99999,{930=12;452=20;gold=160000},World Boss Rewards,世界BOSS奖励,世界BOSS獎勵,World Boss Rewards,,월드보스 보상,,