变量名,huodongID,index,event
默认值,1001,1,0
ID,活动版本号,格子位置（1-54）,事件（1转盘|2厄运卡|3+活动币|4-币|5飞跃格|6小店|99宝藏）
1,1001,1,0
2,1001,2,3
3,1001,3,0
4,1001,4,3
5,1001,5,4
6,1001,6,1
7,1001,7,3
8,1001,8,0
9,1001,9,3
10,1001,10,4
11,1001,11,3
12,1001,12,6
13,1001,13,5
14,1001,14,0
15,1001,15,3
16,1001,16,3
17,1001,17,4
18,1001,18,1
19,1001,19,3
20,1001,20,0
21,1001,21,4
22,1001,22,2
23,1001,23,3
24,1001,24,5
25,1001,25,0
26,1001,26,3
27,1001,27,6
28,1001,28,4
29,1001,29,0
30,1001,30,3
31,1001,31,1
32,1001,32,0
33,1001,33,3
34,1001,34,5
35,1001,35,0
36,1001,36,2
37,1001,37,3
38,1001,38,0
39,1001,39,6
40,1001,40,4
41,1001,41,3
42,1001,42,3
43,1001,43,0
44,1001,44,5
45,1001,45,3
46,1001,46,4
47,1001,47,2
48,1001,48,3
49,1001,49,0
50,1001,50,3
51,1001,51,1
52,1001,52,4
53,1001,53,6
54,1001,54,3
