变量名,huodongID,needLevel,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,award
默认值,0,1,"""""","""""","""""","""""","""""","""""","""""",{}
ID,活动版本ID,要求等级,描述,描述,描述,描述_越南,描述_韩,描述_韩,描述_韩,可领奖励
1,22001,15,等级到达15级,等級達到15級,Reach level 15,Đạt cấp 15,레벨 15 달성,Nível 15,ถึงเลเวล 15,{gold=100000;rmb=200;12=10}
2,22001,20,等级到达20级,等級達到20級,Reach level 20,Đạt cấp 20,레벨 20 달성,Nível 20,ถึงเลเวล 20,{gold=100000;rmb=300;12=10}
3,22001,25,等级到达25级,等級達到25級,Reach level 25,Đạt cấp 25,레벨 25 달성,Nível 25,ถึงเลเวล 25,{gold=100000;rmb=400;12=10}
4,22001,30,等级到达30级,等級達到30級,Reach level 30,Đạt cấp 30,레벨 30 달성,Nível 30,ถึงเลเวล 30,{13=10;rmb=500;gold=100000}
5,22001,35,等级到达35级,等級達到35級,Reach level 35,Đạt cấp 35,레벨 35 달성,Nível 35,ถึงเลเวล 35,{13=10;rmb=600;gold=100000}
6,22001,40,等级到达40级,等級達到40級,Reach level 40,Đạt cấp 40,레벨 40 달성,Nível 40,ถึงเลเวล 40,{13=10;rmb=700;gold=200000}
7,22001,45,等级到达45级,等級達到45級,Reach level 45,Đạt cấp 45,레벨 45 달성,Nível 45,ถึงเลเวล 45,{13=10;rmb=800;gold=200000}
8,22001,50,等级到达50级,等級達到50級,Reach level 50,Đạt cấp 50,레벨 50 달성,Nível 50,ถึงเลเวล 50,{13=10;rmb=1900;gold=200000}
9,22001,55,等级到达55级,等級達到55級,Reach level 55,Đạt cấp 55,레벨 55 달성,Nível 55,ถึงเลเวล 55,{14=10;rmb=2500;gold=200000}
10,22001,60,等级到达60级,等級達到60級,Reach level 60,Đạt cấp 60,레벨 60 달성,Nível 60,ถึงเลเวล 60,{14=10;rmb=3000;gold=200000}
11,22001,70,等级到达70级,等級達到70級,Reach level 70,Đạt cấp 70,레벨 70 달성,Nível 70,ถึงเลเวล 70,{14=10;rmb=4200;gold=300000}
12,22001,80,等级到达80级,等級達到80級,Reach level 80,Đạt cấp 80,레벨 80 달성,Nível 80,ถึงเลเวล 80,{14=10;rmb=5200;gold=300000}
13,22001,90,等级到达90级,等級達到90級,Reach level 90,Đạt cấp 90,레벨 90 달성,Nível 90,ถึงเลเวล 90,{14=10;rmb=7200;gold=300000}